,variation_2000_2013
Zurich,17.5213942626582
Berne,5.2139699203012
Lucerne,11.7921455189847
Uri,0.580494265505678
Schwytz,16.8283326055767
Obwald,12.0713731574864
Nidwald,10.4283400164644
Glaris,1.70765733181771
Zoug,19.2485525481291
Fribourg,24.3646156538217
Soleure,6.30360627777687
Bâle-Ville,-0.548132740451453
Bâle-Campagne,6.9353678625842
Schaffhouse,5.98624102675658
Appenzell Rh.-Ext.,-0.556413644230232
Appenzell Rh.-Int.,5.15857085507828
Saint-Gall,8.81371911646102
Grisons,4.24349284508617
Argovie,16.036763903455
Thurgovie,12.7276327078338
Tessin,10.7469092182121
Vaud,19.160439738753
Valais,16.7251988158124
Neuchâtel,5.3758247861442
Genève,14.8942979703126
Jura,3.08640181347903